DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340145,CAROLINAS MEDICAL CENTER-LINCOLN,433 MCALISTER RD,LINCOLNTON,NC,28092,NC - Charlotte,42,18244.59524,5910.380952,4680.285714
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340147,NASH GENERAL HOSPITAL,2460 CURTIS ELLIS DRIVE,ROCKY MOUNT,NC,27804,NC - Raleigh,107,15444.92523,6724.084112,5948.523364
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340151,HALIFAX REGIONAL MEDICAL CENTER INC,250 SMITH CHURCH RD,ROANOKE RAPIDS,NC,27870,NC - Raleigh,77,18545.33766,6142.805195,5232.519481
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340155,DURHAM REGIONAL HOSPITAL,3643 N ROXBORO ROAD,DURHAM,NC,27704,NC - Durham,66,17569.93939,6276.075758,5321.181818
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340158,BRUNSWICK COMMUNITY HOSPITAL,1 MEDICAL CENTER DR  PO BOX 139,SUPPLY,NC,28462,NC - Wilmington,47,18747.19149,5934.042553,5273.531915
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340159,PERSON MEMORIAL HOSPITAL,615 RIDGE RD,ROXBORO,NC,27573,NC - Durham,14,14272.42857,6683.428571,6189.714286
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340160,MURPHY MEDICAL CENTER INC,3990 EAST US HIGHWAY 64 ALT,MURPHY,NC,28906,GA - Atlanta,19,14623.21053,5881.105263,4812.842105
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340166,CAROLINAS MED CTR-UNIVERSITY,8800 NORTH TYRON STREET,CHARLOTTE,NC,28262,NC - Charlotte,15,15102.06667,5927.933333,4683.666667
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340171,PRESBYTERIAN HOSPITAL MATTHEWS,1500 MATTHEWS TWNSHP PRKWY BOX 3310,MATTHEWS,NC,28106,NC - Charlotte,67,20317.10448,5493.985075,4509.58209
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340173,"WAKEMED, CARY HOSPITAL",1900 KILDARE FARM ROAD,CARY,NC,27518,NC - Raleigh,64,25491.82813,5539.328125,4729.140625
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340183,PRESBYTERIAN HOSPITAL HUNTERSVILLE,10030 GILEAD ROAD,HUNTERSVILLE,NC,28078,NC - Charlotte,20,17580.75,5567.2,4706.2
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340184,MEDWEST HAYWOOD,262 LEROY GEORGE DRIVE,CLYDE,NC,28721,NC - Asheville,60,12879.1,5624.266667,4629.666667
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,340186,VIDANT BEAUFORT HOSPITAL,628 E 12TH ST,WASHINGTON,NC,27889,NC - Greenville,29,10150.89655,4808.517241,4093.482759
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340001,CAROLINAS MEDICAL CENTER-NORTHEAST,920 CHURCH ST N,CONCORD,NC,28025,NC - Charlotte,54,9875.925926,4519.925926,3543.185185
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,509 BILTMORE AVE,ASHEVILLE,NC,28801,NC - Asheville,53,11663.71698,4600.377358,3603.849057
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340003,NORTHERN HOSPITAL OF SURRY COUNTY,830 ROCKFORD ST,MOUNT AIRY,NC,27030,NC - Winston-Salem,19,7338.842105,4194,3014.105263
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST  PO BOX HP-5,HIGH POINT,NC,27261,NC - Winston-Salem,30,10552.16667,4201.533333,3060.7
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340008,SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DR,LAURINBURG,NC,28352,NC - Durham,52,14573,4578.173077,3565.826923
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340010,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,27534,NC - Raleigh,32,10264.21875,4787.15625,3814.78125
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340011,SPRUCE PINE COMMUNITY HOSPITAL,125 HOSPITAL DR,SPRUCE PINE,NC,28777,NC - Asheville,39,6802.615385,4570.102564,3433.794872
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340013,RUTHERFORD HOSPITAL INC,288 SOUTH RIDGECREST AVE,RUTHERFORDTON,NC,28139,NC - Charlotte,38,8584.421053,4373.842105,3228.605263
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340014,FORSYTH MEMORIAL HOSPITAL,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,NC - Winston-Salem,69,15013.66667,4950.347826,3287.434783
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVE,SALISBURY,NC,28144,NC - Charlotte,33,11052.0303,4474,3092.090909
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340017,MARGARET R PARDEE MEMORIAL HOSPITAL,800 N JUSTICE ST,HENDERSONVILLE,NC,28791,NC - Asheville,23,10710.47826,4066.391304,3016.130435
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE ST,SANFORD,NC,27330,NC - Durham,76,17611.75,4084.921053,2971.328947
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340021,CLEVELAND REGIONAL MEDICAL CENTER,201 E GROVER ST,SHELBY,NC,28150,NC - Charlotte,33,13556.21212,4254.393939,3211.484848
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340027,LENOIR MEMORIAL HOSPITAL,100 AIRPORT RD,KINSTON,NC,28501,NC - Greenville,42,10502.80952,4660.357143,3622.261905
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340028,CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE P O BOX 2000,FAYETTEVILLE,NC,28302,NC - Raleigh,83,20691.84337,4983.216867,3721.156627
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3708 DUMC  ERWIN RD,DURHAM,NC,27710,NC - Durham,12,25575.25,7129.416667,4895.833333
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340032,GASTON MEMORIAL HOSPITAL,2525 COURT DR,GASTONIA,NC,28052,NC - Charlotte,51,10550.5098,4520.313725,3446.235294
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340036,FRANKLIN REGIONAL MEDICAL CENTER,100 HOSPITAL DR BOX 609,LOUISBURG,NC,27549,NC - Raleigh,17,18626,4844,4032.235294
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340037,KINGS MOUNTAIN HOSPITAL INC,706 W KING ST,KINGS MOUNTAIN,NC,28086,NC - Charlotte,15,10958.6,4259.333333,3182
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340039,IREDELL MEMORIAL HOSPITAL INC,557 BROOKDALE DR  P O BOX 1828,STATESVILLE,NC,28677,NC - Winston-Salem,40,13871.325,3992.625,2868.7
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340040,VIDANT MEDICAL CENTER,"2100 STANTONSBURG RD, PO BOX 6028",GREENVILLE,NC,27835,NC - Greenville,62,13845.70968,5796.790323,4905.306452
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340041,CALDWELL MEMORIAL HOSPITAL,321 MULBERRY ST SW,LENOIR,NC,28645,NC - Hickory,32,9971.125,4440.15625,3577.65625
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340042,ONSLOW MEMORIAL HOSPITAL,317 WESTERN BOULEVARD,JACKSONVILLE,NC,28540,NC - Greenville,43,13269.2093,4702.976744,3367.372093
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,NC - Winston-Salem,47,9395.93617,18373.80851,5043.12766
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340050,SOUTHEASTERN REGIONAL MEDICAL CENTER,300 W 27 ST  PO BOX 1408,LUMBERTON,NC,28359,NC - Durham,73,15180.94521,5411.438356,4435.671233
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340053,PRESBYTERIAN HOSPITAL,200 HAWTHORNE LANE BOX 33549,CHARLOTTE,NC,28233,NC - Charlotte,61,15880.7377,4943.52459,3649.344262
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340060,MOREHEAD MEMORIAL HOSPITAL,117 E KINGS HIGHWAY,EDEN,NC,27288,NC - Greensboro,38,10458.23684,4314.736842,3369.473684
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,NC,27514,NC - Durham,17,9964.705882,6920.411765,5838.058824
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340064,WILKES REGIONAL MEDICAL CENTER,1370 WEST D ST,NORTH WILKESBOR,NC,28659,NC - Winston-Salem,18,8473.555556,4114.444444,3093.666667
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,500 JEFFERSON ST,WHITEVILLE,NC,28472,NC - Wilmington,39,10265.15385,4791.025641,3789.384615
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340069,"WAKEMED, RALEIGH CAMPUS",3000 NEW BERN AVE,RALEIGH,NC,27610,NC - Raleigh,59,16787.42373,5039.59322,4109.423729
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340071,BETSY JOHNSON REGIONAL  HOSPITAL,800 TILGHMAN DR,DUNN,NC,28334,NC - Raleigh,65,13889.52308,5431.2,4210.907692
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340073,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,RALEIGH,NC,27609,NC - Raleigh,27,16856.92593,4094.481481,3006.222222
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340075,CMC-BLUE RIDGE,2201 S STERLING ST,MORGANTON,NC,28655,NC - Charlotte,16,15665.5,4372.25,3291.5
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340087,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE P O BOX 730,MARION,NC,28752,NC - Asheville,20,8157.95,4816.1,3839.5
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340090,JOHNSTON MEMORIAL HOSPITAL,509 BRIGHT LEAF BLVD,SMITHFIELD,NC,27577,NC - Raleigh,40,13990.5,4707.625,3703.325
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340091,"MOSES H CONE MEMORIAL HOSPITAL, THE",1200 N ELM ST,GREENSBORO,NC,27401,NC - Greensboro,87,10075.98851,4439.643678,3419.551724
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340096,LEXINGTON MEMORIAL HOSPITAL INC,250 HOSPITAL DRIVE PO BOX 1817,LEXINGTON,NC,27293,NC - Winston-Salem,20,7305.05,4068.5,3148.5
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340097,HUGH CHATHAM MEMORIAL HOSPITAL,180 PARKWOOD DR,ELKIN,NC,28621,NC - Winston-Salem,37,12742.51351,4132.459459,3200.351351
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340098,CAROLINAS MED CENTER-MERCY,2001 VAIL AVE,CHARLOTTE,NC,28207,NC - Charlotte,44,15175.81818,4409.659091,2978.090909
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340099,VIDANT ROANOKE CHOWAN HOSPITAL,500 S ACADEMY ST,AHOSKIE,NC,27910,NC - Greenville,32,13004.96875,4734.9375,3666.96875
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340106,SANDHILLS REGIONAL MEDICAL CENTER,1000 WEST HAMLET AVENUE,HAMLET,NC,28345,NC - Charlotte,38,22287.26316,4299.605263,3573.289474
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340107,VIDANT EDGECOMBE HOSPITAL,111 HOSPITAL DR,TARBORO,NC,27886,NC - Greenville,33,15169.48485,4829.606061,3966.212121
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340109,ALBEMARLE HOSPITAL AUTHORITY,1144 N ROAD ST,ELIZABETH CITY,NC,27909,VA - Norfolk,57,11600.94737,4993.052632,4205.052632
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340113,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,NC - Charlotte,49,16784.93878,6378.040816,4982.040816
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607,NC - Raleigh,37,12007.97297,3937.594595,2785.324324
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,155 MEMORIAL DRIVE,PINEHURST,NC,28374,NC - Durham,98,11560.15306,4497.755102,3388.744898
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340116,FRYE REGIONAL MEDICAL CENTER,420 N CENTER ST,HICKORY,NC,28601,NC - Hickory,30,23033.23333,4016.333333,3094.733333
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340119,STANLY REGIONAL MEDICAL CENTER,301 YADKIN ST,ALBEMARLE,NC,28001,NC - Charlotte,13,13602.61538,4112.923077,3138.461538
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340120,VIDANT DUPLIN  HOSPITAL,401 N MAIN ST,KENANSVILLE,NC,28349,NC - Greenville,31,8806,4725.354839,3908.83871
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340126,WILSON MEDICAL CENTER,1705 S TARBORO ST,WILSON,NC,27893,NC - Raleigh,28,14382.92857,4586.178571,3683.035714
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340129,LAKE NORMAN REGIONAL MEDICAL CENTER,171 FAIRVIEW ROAD,MOORESVILLE,NC,28117,NC - Charlotte,19,19751.05263,3883.421053,2974.578947
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340130,CAROLINAS MEDICAL CENTER-UNION,600 HOSPITAL DR,MONROE,NC,28110,NC - Charlotte,40,7996.875,4640.275,3748.575
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340131,CAROLINA EAST MEDICAL CENTER,2000 NEUSE BLVD,NEW BERN,NC,28560,NC - Greenville,20,9898.2,4891.7,4028.3
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340132,MARIA PARHAM MEDICAL CENTER,PO BOX 59,HENDERSON,NC,27536,NC - Durham,50,11191.6,4680.84,3803.12
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340133,MARTIN GENERAL HOSPITAL,310 S MCCASKEY RD P O BOX 1128,WILLIAMSTON,NC,27892,NC - Greenville,31,17523.90323,4632.580645,3466.129032
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340141,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S 17TH ST BOX 9000,WILMINGTON,NC,28402,NC - Wilmington,40,11291.3,4964.125,3575.525
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340142,CARTERET GENERAL HOSPITAL,3500 ARENDELL ST,MOREHEAD CITY,NC,28557,NC - Greenville,13,7116.846154,4907.153846,4286.538462
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340143,CATAWBA VALLEY MEDICAL CENTER,810 FAIRGROVE CHURCH RD,HICKORY,NC,28602,NC - Hickory,21,17101.85714,4639.761905,3547.952381
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340144,DAVIS REGIONAL MEDICAL CENTER,218 OLD MOCKSBVILLE RD PO BOX 1823,STATESVILLE,NC,28687,NC - Winston-Salem,33,21416.12121,4374.30303,3363.515152
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340145,CAROLINAS MEDICAL CENTER-LINCOLN,433 MCALISTER RD,LINCOLNTON,NC,28092,NC - Charlotte,13,14033.53846,4186.384615,3213.769231
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340147,NASH GENERAL HOSPITAL,2460 CURTIS ELLIS DRIVE,ROCKY MOUNT,NC,27804,NC - Raleigh,51,10606.82353,5020.45098,3982.27451
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340151,HALIFAX REGIONAL MEDICAL CENTER INC,250 SMITH CHURCH RD,ROANOKE RAPIDS,NC,27870,NC - Raleigh,71,12636.33803,4611.380282,3553.56338
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340155,DURHAM REGIONAL HOSPITAL,3643 N ROXBORO ROAD,DURHAM,NC,27704,NC - Durham,42,14645.2381,4797.47619,3554
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340158,BRUNSWICK COMMUNITY HOSPITAL,1 MEDICAL CENTER DR  PO BOX 139,SUPPLY,NC,28462,NC - Wilmington,47,13573.65957,4403,3403.255319
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340159,PERSON MEMORIAL HOSPITAL,615 RIDGE RD,ROXBORO,NC,27573,NC - Durham,25,9603.48,4956.2,4126.76
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340171,PRESBYTERIAN HOSPITAL MATTHEWS,1500 MATTHEWS TWNSHP PRKWY BOX 3310,MATTHEWS,NC,28106,NC - Charlotte,20,17349.45,4170,2972.45
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340173,"WAKEMED, CARY HOSPITAL",1900 KILDARE FARM ROAD,CARY,NC,27518,NC - Raleigh,16,20563.4375,4090.1875,3155.4375
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340184,MEDWEST HAYWOOD,262 LEROY GEORGE DRIVE,CLYDE,NC,28721,NC - Asheville,44,11321.45455,4242.113636,3110.159091
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,340186,VIDANT BEAUFORT HOSPITAL,628 E 12TH ST,WASHINGTON,NC,27889,NC - Greenville,13,6800,3417.153846,2531.615385
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340001,CAROLINAS MEDICAL CENTER-NORTHEAST,920 CHURCH ST N,CONCORD,NC,28025,NC - Charlotte,146,21404.17808,9567.219178,8175.520548
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,509 BILTMORE AVE,ASHEVILLE,NC,28801,NC - Asheville,285,20762.30526,9458.701754,8284.505263
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340003,NORTHERN HOSPITAL OF SURRY COUNTY,830 ROCKFORD ST,MOUNT AIRY,NC,27030,NC - Winston-Salem,62,16163.87097,8488.677419,7626.129032
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST  PO BOX HP-5,HIGH POINT,NC,27261,NC - Winston-Salem,108,24260.92593,8801.962963,7797.046296
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340008,SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DR,LAURINBURG,NC,28352,NC - Durham,48,24510.0625,9003.166667,8283.666667
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340010,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,27534,NC - Raleigh,64,15522.64063,9799.796875,8585.171875
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340011,SPRUCE PINE COMMUNITY HOSPITAL,125 HOSPITAL DR,SPRUCE PINE,NC,28777,NC - Asheville,11,14433.36364,9653.454545,8707.636364
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340013,RUTHERFORD HOSPITAL INC,288 SOUTH RIDGECREST AVE,RUTHERFORDTON,NC,28139,NC - Charlotte,40,18036.325,8668.375,7850.125
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340014,FORSYTH MEMORIAL HOSPITAL,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,NC - Winston-Salem,179,25247.56983,9593.195531,8661.391061
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVE,SALISBURY,NC,28144,NC - Charlotte,59,25862.44068,8645.152542,7904.677966
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340016,MEDWEST HARRIS,68 HOSPITAL RD,SYLVA,NC,28779,NC - Asheville,15,22040.53333,7677,6907.933333
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340017,MARGARET R PARDEE MEMORIAL HOSPITAL,800 N JUSTICE ST,HENDERSONVILLE,NC,28791,NC - Asheville,57,17794.40351,7896.596491,7088.736842
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE ST,SANFORD,NC,27330,NC - Durham,25,41881.8,7908.48,7238.96
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340021,CLEVELAND REGIONAL MEDICAL CENTER,201 E GROVER ST,SHELBY,NC,28150,NC - Charlotte,79,24903,8894.227848,7928.670886
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340023,PARK RIDGE HEALTH,100 HOSPITAL DRIVE,HENDERSONVILLE,NC,28792,NC - Asheville,16,15857.8125,8126.8125,7124.3125
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340024,SAMPSON REGIONAL MEDICAL CENTER,607 BEAMAN ST,CLINTON,NC,28328,NC - Raleigh,33,15651,8975.242424,8077.060606
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340027,LENOIR MEMORIAL HOSPITAL,100 AIRPORT RD,KINSTON,NC,28501,NC - Greenville,52,21193.09615,9164.403846,8263.173077
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340028,CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE P O BOX 2000,FAYETTEVILLE,NC,28302,NC - Raleigh,180,43880.90556,10585.11111,9595.75
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3708 DUMC  ERWIN RD,DURHAM,NC,27710,NC - Durham,49,38364.30612,15282.32653,14592
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340032,GASTON MEMORIAL HOSPITAL,2525 COURT DR,GASTONIA,NC,28052,NC - Charlotte,214,22517.86449,9266.135514,8306.990654
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340037,KINGS MOUNTAIN HOSPITAL INC,706 W KING ST,KINGS MOUNTAIN,NC,28086,NC - Charlotte,22,18632.22727,8703.136364,7866.772727
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340039,IREDELL MEMORIAL HOSPITAL INC,557 BROOKDALE DR  P O BOX 1828,STATESVILLE,NC,28677,NC - Winston-Salem,65,35395.72308,8182.815385,7581.830769
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340040,VIDANT MEDICAL CENTER,"2100 STANTONSBURG RD, PO BOX 6028",GREENVILLE,NC,27835,NC - Greenville,91,27427.74725,12616.54945,11397.81319
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340041,CALDWELL MEMORIAL HOSPITAL,321 MULBERRY ST SW,LENOIR,NC,28645,NC - Hickory,28,21755.82143,9208.892857,8144.892857
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340042,ONSLOW MEMORIAL HOSPITAL,317 WESTERN BOULEVARD,JACKSONVILLE,NC,28540,NC - Greenville,49,27042.04082,9407.938776,8657.408163
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,NC - Winston-Salem,119,22490.79832,13304.19328,12367.36134
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340050,SOUTHEASTERN REGIONAL MEDICAL CENTER,300 W 27 ST  PO BOX 1408,LUMBERTON,NC,28359,NC - Durham,148,30909.26351,11150.72297,10016.60811
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340051,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,NC,28607,TN - Johnson City,97,22356.45361,11141.71134,9868.773196
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340053,PRESBYTERIAN HOSPITAL,200 HAWTHORNE LANE BOX 33549,CHARLOTTE,NC,28233,NC - Charlotte,90,30634.16667,9571.688889,8673.788889
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340055,VALDESE GENERAL HOSPITAL INC,720 MALCOLM BLVD,VALDESE,NC,28690,NC - Hickory,41,30637.90244,8175.634146,7223.439024
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340060,MOREHEAD MEMORIAL HOSPITAL,117 E KINGS HIGHWAY,EDEN,NC,27288,NC - Greensboro,73,17865.28767,8624.643836,7796.931507
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,NC,27514,NC - Durham,67,25776.68657,15323.29851,14488.1194
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340064,WILKES REGIONAL MEDICAL CENTER,1370 WEST D ST,NORTH WILKESBOR,NC,28659,NC - Winston-Salem,71,17006.42254,8274.943662,7343.15493
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,500 JEFFERSON ST,WHITEVILLE,NC,28472,NC - Wilmington,48,21874.1875,9392.125,8541.1875
